Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
PD,13154,,207
PD,13154,MONDAK 480 S,173
PD,13158,,150
PD,13158,REMEDIER,364
PD,13160,,281
PD,13160,FORUM TOP,279
PD,13168,,949
PD,13168,LAUDIS,4273
PD,13179,PLAYER COMBI SC,7
PD,13205,,225
PD,13211,ZOLFO VENTILATO SCORREVOLE 96%,4075
PD,13213,,50
PD,13213,R6 ERRESEI ALBIS,69
PD,13218,,50
PD,13218,FINALSAN PLUS,1060
PD,13218,FINALSAN PLUS 10 L,30
PD,13225,AGRIDIF 250,6
PD,13236,BULLET,943
PD,13242,,1147
PD,13242,NICOGAN V.O.,2540
PD,13244,,350
PD,13244,ZOLFO VENTILATO SCORREVOLE KG.25,250
PD,13244,ZOLFO VENTILATO STELLA,2075
PD,13249,,50
PD,13249,ZOLFO VENTILATO STELLA RAMATO S,425
PD,13252,,30
PD,13252,PLAYER 250 SC,376
PD,13253,PLAYER SC,9
PD,13254,PLAYER 25 WG,477
PD,13255,PLAYER GR,73
PD,13285,,70
PD,13285,SEVERAL,1
PD,13290,,250
PD,13298,,5
PD,13298,QUANTUM F,10
PD,13311,DOMARK COMBI WG,8
PD,13313,,58
PD,13313,CASPER,98
PD,13323,SULFY 80 WDG,12.5
PD,13324,CUPRIZOL S,0.24
PD,13327,,19.15
PD,13327,GRANSTAR ULTRA SX,47.65
PD,13329,OMNEX 10 EC,83
PD,13356,AGRIZOLE,1
PD,13367,,51
PD,13367,DIVO,88.5
PD,13377,COLUMBUS,18
PD,13382,,329.5
PD,13382,PERGADO SC,861.5
PD,13386,,53
PD,13386,PROSARO,362
PD,13387,,10.07
PD,13387,FLORAMIX,111.3
PD,13388,,19.08
PD,13389,,1162
PD,13389,AFFIRM,1609
PD,13391,,392
PD,13391,CYTHRIN 50 EC,360.5
PD,13402,LUMA-KL,1
PD,13447,HELMSTAR 75 WG,2.8
PD,13451,SPARVIERO,74
PD,13455,,483
PD,13455,ANTIGRAM GOLD,3105
PD,13466,,139
PD,13466,SPOTLIGHT PLUS,419
PD,13471,,10
PD,13471,NICOZEA OD,38
PD,13472,ALIEN,33
PD,13485,,400
