num_registrazione;denominazione_prodotto;ragione_sociale;indirizzo_sede_legale;cap_sede_legale;comune_sede_legale;provincia_sede_legale;indirizzo_sede_amministrativa;cap_sede_amministrativa;comune_sede_amministrativa;provincia_sede_amministrativa;data_registrazione;data_scadenza_autorizzazione;indicazioni_di_pericolo;attivita;codice_formulazione;descrizione_formulazione;sostanze_attive;contenuto_per_100g_di_prodotto;importazione_parallela;PFnPO;PFnPE;stato_amministrativo;motivo_della revoca;data_decreto_revoca;data_decorrenza_revoca
012420;TB 20 DG;SHARDA CROPCHEM ESPANA S.L.;EDIFICIO ATALAYAS BUSINESS CENTER, CARRIL CONDOMINA N. 3, 12TH FLOOR;30006;MURCIA;-;EDIFICIO ATALAYAS BUSINESS CENTER, CARRIL CONDOMINA N. 3, 12TH FLOOR;30006;MURCIA;-;27/03/2007;15/08/2026;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;FUNGICIDA;WG;GRANULARE IDRODISPERSIBILE;TEBUCONAZOLE;20.0 g;NO;NO;NO;Autorizzato;-;-;-
012421;FENDINAL SE;BAYER CROPSCIENCE S.R.L.;VIALE CERTOSA, 130;20156;MILANO;MILANO;VIALE CERTOSA, 130;20156;MILANO;MILANO;02/09/2005;30/09/2026;(N) PERICOLOSO PER L'AMBIENTE;DISERBANTE;SE;SOSPENSIONE-EMULSIONE;PHENMEDIPHAM;16.0 g;NO;NO;NO;Ri-registrato;-;-;-
012422;EPAL COMBI;AGRIMPORT S.P.A.;VIA PIANI, 1;39100;-;BOLZANO;VIA PIANI, 1;39100;-;BOLZANO;02/10/2007;02/10/2012;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;FUNGICIDA;WG;GRANULARE IDRODISPERSIBILE;FOSETYL-ALUMINIUM|COPPER OXYCHLORIDE;20.0 g|20.0 g;NO;NO;NO;Revocato;-;-;21/07/2008
012423;BUPROSYS;TECNITERRA S.R.L.;VIA BRONZINO, 19;20133;MILANO;MILANO;VIA BRONZINO, 19;20133;MILANO;MILANO;24/01/2005;05/08/2009;-;INSETTICIDA;SC;SOSPENSIONE CONCENTRATA;BUPROFEZIN;95.0 g;NO;NO;NO;Revocato;-;-;30/03/2009
012424;ZARGON;CORTEVA AGRISCIENCE ITALIA S.R.L.;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;18/05/2005;31/12/2024;(N) PERICOLOSO PER L'AMBIENTE|(XI) IRRITANTE;DISERBANTE;EC;CONCENTRATO EMULSIONABILE;OXYFLUORFEN;22.9 g;NO;NO;NO;Revocato;-;-;24/02/2021
012426;NEU-AMID 3 LG;L. GOBBI S.R.L.;VIA B. BOSCO, 57/2;16121;GENOVA;GENOVA;VIA VALLECALDA, 33;16013;CAMPOLIGURE (GE);-;02/10/2007;30/06/2012;ESENTE DA CLASSIFICAZIONE DI PERICOLO;FITOREGOLATORE;SL;CONCENTRATO SOLUBILE;1-NAPHTHYLACETAMIDE (1-NAD);3.0 g;NO;NO;NO;Revocato;-;-;01/07/2012
012428;BETAGIB LG;L. GOBBI S.R.L.;VIA B. BOSCO, 57/2;16121;GENOVA;GENOVA;VIA VALLECALDA, 33;16013;CAMPOLIGURE (GE);-;17/06/2008;17/06/2013;ESENTE DA CLASSIFICAZIONE DI PERICOLO;FITOREGOLATORE;SL;CONCENTRATO SOLUBILE;GIBBERELLIC ACID|BETA NOA;0.1 g|4.0 g;NO;NO;NO;Revocato;-;-;26/07/2009
012430;BRAFIX;L. GOBBI S.R.L.;VIA B. BOSCO, 57/2;16121;GENOVA;GENOVA;VIA VALLECALDA, 33;16013;CAMPOLIGURE (GE);-;17/06/2008;30/04/2029;ESENTE DA CLASSIFICAZIONE DI PERICOLO;FITOREGOLATORE;SC;SOSPENSIONE CONCENTRATA;1-NAPHTHYLACETIC ACID (1-NAA);2.0 g;NO;NO;NO;Autorizzato;-;-;-
012432;LITANIE FL;SCAM S.P.A.;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;03/04/2007;31/12/2011;ESENTE DA CLASSIFICAZIONE DI PERICOLO;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;PENCYCURON;23.2 g;NO;NO;NO;Revocato;-;-;01/12/2011
012433;AFIDAN-M;TECNITERRA S.R.L.;VIA BRONZINO, 19;20133;MILANO;MILANO;VIA BRONZINO, 19;20133;MILANO;MILANO;30/06/2005;22/03/2008;-;-;CS;SOSPENSIONE DI CAPSULE;MALATHION;30.0 g;NO;NO;NO;Revocato;-;-;06/12/2007
012434;PERCITRIN EC;ARYSTA LIFESCIENCE BENELUX SPRL;RUE DE RENORY, 26/1;B-4102;OUGREE, SERAING;-;RUE DE RENORY, 26/1;B-4102;OUGREE, SERAING;-;24/01/2005;30/06/2014;(N) PERICOLOSO PER L'AMBIENTE|(XI) IRRITANTE;INSETTICIDA;EC;CONCENTRATO EMULSIONABILE;CYPERMETHRIN;5.0 g;NO;NO;NO;Revocato;-;-;11/03/2015
012435;ZOLTRIM COMBI;SCAM S.P.A.;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;09/11/2005;31/12/2010;-;-;WP;POLVERE BAGNABILE;TRIADIMENOL|SULPHUR (ZOLFO);3.0 g|50.0 g;NO;NO;NO;Revocato;-;-;01/09/2009
