Prodotti fitosanitari venduti nell'anno 2019 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;6945;TOPAS 10 EC;80,00
PD;6956;;108,00
PD;6956;TARGA FLO;1.198,00
PD;6978;;315,00
PD;6978;BETTER 400;640,00
PD;7020;BAGNANTE CIFO;28,00
PD;7053;;17,00
PD;7053;PASTA CAFFARO NC;1.046,00
PD;7055;;24,00
PD;7055;PASTA CAFFARO BLU;11,50
PD;7055;PASTA CAFFARO BLU PFnPE;12,00
PD;7101;LIMAVAL PFnPE;5,50
PD;7368;;19,00
PD;7368;TURFENE L;22,00
PD;7379;;125,50
PD;7379;VENZAR;135,00
PD;7401;POLTIGLIA CAFFARO 20 DF NEW;6,00
PD;7401;POLTIGLIA CAFFARO 20 DF NEW PFnPE;12,00
PD;7483;;13,00
PD;7483;DEVRINOL F;62,00
PD;7530;BIOLID E;2,00
PD;7534;;1.480,00
PD;7535;;200,00
PD;7541;;5,25
PD;7555;KLARTAN 20 EW;37,44
PD;7608;;32,00
PD;7608;DASKOR 440 EC;170,00
PD;7611;;2.142,00
PD;7611;ENOVIT METIL FL;2.487,00
PD;7700;;17,80
PD;7700;MATACAR FL;27,60
PD;7764;TIOLENE;244,50
PD;7764;TIOLENE PFnPE;1,00
PD;7876;;2,00
PD;7876;PIRIMOR 17,5;5,00
PD;7911;AIRONE EXTRA;90,00
PD;7916;;3.683,00
PD;7916;POLYRAM DF;4.297,00
PD;7919;;2.480,00
PD;7919;TOUCHDOWN;1.352,00
PD;7922;OPALENE;161,00
PD;7958;;123,00
PD;7958;RONSTAR FL;104,00
PD;7961;;40,00
PD;7961;RIZOLEX  GOLD;23,00
PD;8023;SUMIALFA ECHO;1,00
PD;8028;;1.627,00
PD;8102;;508,00
PD;8102;MERPAN 80 WDG;1.285,00
PD;8106;CIMOZEB;516,00
PD;8117;;230,00
PD;8117;BASTA 200;625,00
PD;8130;TITUS;0,96
PD;8139;;18,00
PD;8139;MANTA GOLD;18,00
PD;8146;;61,00
PD;8146;GALLERY;34,00
PD;8155;;150,00
PD;8155;CATOR;187,00
PD;8184;;312,00
PD;8184;CHALLENGE;507,00
PD;8229;RAPAX;2,90
PD;8259;;193,00
PD;8259;LAMDEX EXTRA;866,00
PD;8351;Z.M. 75 DG;120,00
PD;8376;;892,00
PD;8376;ARIANE II;1.345,00
PD;8382;ROUNDUP BIOFLOW;12,00
PD;8382;ROUNDUP BIOFLOW PFnPE;11,56
PD;8401;FALTEX FLOW;95,00
PD;8498;;53,00
PD;8498;FOLICUR WG;361,50
PD;8542;FORUM 50 WP;37,00
PD;8546;DANITRON;7,00
PD;8558;PIRETRO VERDE;325,50
PD;8558;PIRETRO VERDE PFnPE;38,11
PD;8558;PIRETRO VERDE PFnPE 50 ml;0,50
PD;8599;;1.735,00
PD;8601;;138,00
PD;8601;FOLPAN 80 WDG;3.210,00
PD;8617;;46,00
PD;8617;BANVEL 480 S;9,00
PD;8646;PENDIGAN;7,00
PD;8649;PIRIDANE 480;76,00
PD;8656;GLIFENE HP;1.905,00
PD;8690;;1,00
PD;8690;PERFEKTHION TOP;154,00
PD;8706;;2,50
PD;8706;AMID THIN W;19,00
PD;8711;ALLEGANTE 2% AF 96;1,00
PD;8712;;2,00
PD;8712;ALLEGANTE 4% AF 96;6,00
PD;8721;NEXTER;1,00
PD;8729;FORUM R;20,00
PD;8731;FORUM R WP;1,00
