"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;8601;FOLPAN 80 WDG;3.697,00
PD;8617;BANVEL 480 S;2,00
PD;8656;GLIFENE HP;419,00
PD;8706;AMID THIN W;4,00
PD;8711;ALLEGANTE 2% AF 96;1,00
PD;8712;;1,00
PD;8712;ALLEGANTE 4% AF 96;7,00
PD;8735;;167,00
PD;8735;TREBON UP;510,50
PD;8742;INDAR 5 EW;4,00
PD;8795;;137,00
PD;8795;VERTIMEC EC;127,75
PD;8796;SELECT;2,00
PD;8797;BINAL PRO;93,00
PD;8801;;4,50
PD;8801;SCORE 25 EC;435,50
PD;8836;MIMIC;51,00
PD;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;0,11
PD;8874;;594,00
PD;8874;ETOFUM - FL;52,00
PD;8886;;21,36
PD;8886;SAFARI;21,96
PD;8888;PRIDE ULTRA;1,00
PD;8899;ZOLFO VENTILATO RAMATO 5%;125,00
PD;8929;;21,00
PD;8933;SOLEAS;2,00
PD;8934;;55,00
PD;8934;SCALA;34,00
PD;9005;;784,00
PD;9005;AGIL;2.971,00
PD;9010;;60,00
PD;9010;RAMEZIN COMBI WG;700,00
PD;9012;;170,00
PD;9012;CUPROCAFFARO MICRO;1.079,00
PD;9041;;12.380,00
