Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
BL;15509;MOSAIKO COMBI;191,00;;
BL;15514;CUPRAVIT BLU 35 WG;661,90;;
BL;15572;ZOMINEX;1,00;;
BL;15621;BOTTO 50 EC;10,00;;
BL;15654;ACCORD;8,00;;
BL;15661;SENEGO;2,75;;
BL;15668;GHIBLI 240 OD;39,25;;
BL;15681;LUMADRY ESCA;310,00;;
BL;15725;DUAXO;4,40;;
BL;15738;STOPWEED 480;5,00;;
BL;15751;VITENE TRIPLO R;5,00;;
BL;15759;DECIS TRAP;1,03;;
BL;15779;ABANTO;0,10;;
BL;15844;SLOGAN TOP;50,00;;
BL;15857;R6 ERRESEI PASADOBLE;20,00;;
BL;15859;KATANGA EXPRESS;12,00;;
BL;15901;ERCOLE;4.513,00;;
BL;15914;RAME ISAGRO WG BLU;161,00;;
BL;15933;AXIENDO PRONTO USO;15,75;;
BL;15961;RETENGO NEW;3,00;;
BL;16000;MINUET GR;24,75;;
BL;16051;LENNS;2,30;;
BL;16071;MESOZIN 70 WG;5,25;;
BL;16098;NIBER 70 DF;8,00;;
BL;16117;SERBY;14,15;;
BL;16136;LUMA-GOLD;21,00;;
BL;16225;POLTIGLIA BLU 20 WG;15,00;;
BL;16243;POLYSECT ULTRA AL;13,60;;
BL;16256;PANTOX 360 SL;24,00;;
BL;16325;EPIK SL;7,22;;
BL;16364;BISMARK;10,00;;
BL;16459;SOLEIL 50 WG;11,50;;
BL;16528;GHIBLI 40 OD;318,00;;
BL;16571;COPPER COMBI WG;12,50;;
PD;13;THIOPRON;11.618,00;;
PD;13;THIOPRON x 10 lt;7.970,00;;
PD;13;THIOPRON X 10;100,00;;
