Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Dieldrine;;NON_INSCRITE;dieldrine;
Imazapyr;81334-34-1;NON_INSCRITE;imazapyr;
Glutaraldehyde;;NON_INSCRITE;glutaraldéhyde;
Imibenconazole;;NON_INSCRITE;imibenconazole;
Haloxyfop-P;;NON_INSCRITE;haloxyfop-R | haloxyfop-R : ester methylique;
Heptachlore;;NON_INSCRITE;heptachlore;
Pasteuria nishizawae Pn1;;INSCRITE;Pasteuria nishizawae Pn1;
p-Chloronitrobenzene;;NON_INSCRITE;p-Chloronitrobenzène;
Plant oils / Peanut oil;;NON_INSCRITE;huile de plantes / huile d'arachide;
Plant oils / Pinus oil;;NON_INSCRITE;huile de plantes / huile de pin;
Pronumone;;NON_INSCRITE;pronumone;
Propargite;2312-35-8;NON_INSCRITE;propargite;
Propazine;;NON_INSCRITE;propazine;
Thiazafluron;25366-23-8;NON_INSCRITE;thiazafluron;
Thiazopyr;;NON_INSCRITE;thiazopyr;
Thidiazuron;;NON_INSCRITE;thidiazuron;
Alanycarb;83130-01-2;NON_INSCRITE;alanycarbe;
Anilazine;101-05-3;NON_INSCRITE;anilazine;
Anthraquinone;84-65-1;NON_INSCRITE;anthraquinone;
Aramite;;NON_INSCRITE;aramite;
Azaconazole;60207-31-0;NON_INSCRITE;azaconazole;
Azinphos ethyl;2642-71-9;NON_INSCRITE;azinphos éthyl;
Azinphos-methyl;86-50-0;NON_INSCRITE;azinphos-méthyl;
Benfuracarb;82560-54-1;NON_INSCRITE;benfuracarb;
Benfuresate;;NON_INSCRITE;benfurésate;
Benzoximate;29104-30-1;NON_INSCRITE;benzoximate;
Benzthiazuron;;NON_INSCRITE;benzthiazuron;
Dichlorprop;120-36-5;NON_INSCRITE;dichlorprop sel de sodium | 2,4 DP sel d'amine | dichlorprop esters isooctyliques | dichlorprop | dichlorprop ester de butylglycol | dichlorprop sel de potassium | dichlorprop sel de diethanolamine | dichlorprop sel diethanolamine | dichlorprop sel de dimethylamine | dichlorprop sel d'amine | dichlorprop sel de triethanolamine;
Dicofol;115-32-2;NON_INSCRITE;dicofol;
Difenoxuron;;NON_INSCRITE;difénoxuron;
Difenzoquat;43222-48-6;NON_INSCRITE;difenzoquat;
Difethialone;104653-34-1;NON_INSCRITE;diféthialone;
Dikegulac;;NON_INSCRITE;dikégulac;
Dimethipin;55290-64-7;NON_INSCRITE;diméthipin;
Dinocap;39300-45-3;NON_INSCRITE;dinocap;
Dinotefuran;;NON_INSCRITE;dinotéfurane;
Fenitrothion;122-14-5;NON_INSCRITE;fénitrothion;
Fenothiocarb;;NON_INSCRITE;fénothiocarb;
Fenoxaprop;66441-23-4 | 71283-80-2;NON_INSCRITE;fénoxaprop;
Fenpiclonil;74738-17-3;NON_INSCRITE;fenpiclonil;
Fenamiphos;22224-92-6;NON_INSCRITE;phénamiphos;
Fenpropathrin;64257-84-7;NON_INSCRITE;fenpropathrine;
Flucarbazone-sodium;;NON_INSCRITE;flucarbazone-sodium;
Flocumafen;90035-08-9;NON_INSCRITE;flocoumafen;
Fluoroacetamide;;NON_INSCRITE;fluoroacétamide;
Fluorodifen;;NON_INSCRITE;fluorodifène;
Flurtamone;96525-23-4;NON_INSCRITE;Flurtamone;
Flusilazole;85509-19-9;NON_INSCRITE;flusilazole;
Flusulfamide;;NON_INSCRITE;flusulfamide;
HBTA (high boiling tar acid);;NON_INSCRITE;HBTA (acide de goudron extrait à haute température);
Heptenophos;23560-59-0;NON_INSCRITE;hepténophos;
Hexachlorophene;;NON_INSCRITE;hexachlorophène;
Hexazinone;51235-04-2;NON_INSCRITE;hexazinone;
Hydramethylnon;67485-29-4;NON_INSCRITE;hydraméthylnone;
Hydrogen peroxide;;INSCRITE;péroxyde d'hydrogène;
Hydroxy-MCPA;;NON_INSCRITE;hydroxy-MCPA;
Hydroxyphenyl-salicylamide;;NON_INSCRITE;hydroxyphényl-salicylamide;
Parathion;56-38-2;NON_INSCRITE;parathion;
Perfluidone;;NON_INSCRITE;perfluidone;
Phenothrin;;NON_INSCRITE;phénothrine;
Phenthoate;;NON_INSCRITE;phenthoate;
Phosalone;2310-17-0;NON_INSCRITE;phosalone;
Oxyde d'ethylene;;NON_INSCRITE;oxyde d'ethylene;
Ipconazole;125225-28-7;NON_INSCRITE;ipconazole;
Potassium silicate;;NON_INSCRITE;silicate de potassium;
Potassium sorbate;;NON_INSCRITE;sorbate de potassium;
Potassium thiocyanate;;NON_INSCRITE;thiocyanate de potassium;
